file,column_name,data_type,unit,description,range,notes
feature_windows.csv,mq3_fall_rate,float,ppm_equivalent/s,Maximum rate of signal fall during desorptive clearance phase,0.0 to 150.0,Maximum negative finite-difference gradient; reflects sensor chamber clearing/washout
feature_windows.csv,mq3_auc,float,ppm_equivalent*s,Area Under the Curve (trapezoidal numerical integration over window time),500.0 to 35000.0,Integrated exposure dosage over the screening interaction
feature_windows.csv,mq3_response_duration,float,seconds,Duration of time during which MQ3 remained >20% above baseline,0.0 to 30.0,Temporal persistence of the chemical vapor plume
feature_windows.csv,mq3_recovery_time,float,seconds,Elapsed time from peak amplitude until signal recovers to within 10% of baseline,0.0 to 25.0,Sensor desorptive clearance latency
feature_windows.csv,mq3_time_to_peak,float,seconds,Elapsed time from window start to maximum peak amplitude,0.1 to 25.0,Arrival latency of peak vapor concentration
feature_windows.csv,mq3_dominant_freq,float,Hz,Dominant spectral frequency peak in FFT power spectrum (0 to 5 Hz),0.0 to 5.0,Primary oscillatory or drift component (Nyquist limit 5 Hz at 10 Hz sampling)
feature_windows.csv,mq3_spectral_energy,float,(ppm_equivalent)^2,Total power spectral density energy across all FFT bins,10.0 to 1e7,Overall frequency-domain power of the sensor signal
feature_windows.csv,mq3_low_freq_energy,float,(ppm_equivalent)^2,Spectral energy in low-frequency band (0.0 to 1.0 Hz),10.0 to 1e7,Reflects slow chemical plume accumulation and baseline thermal drift
feature_windows.csv,mq3_high_freq_energy,float,(ppm_equivalent)^2,Spectral energy in high-frequency band (1.0 to 5.0 Hz),0.1 to 1e5,"Reflects mechanical air turbulence, ventilation drafts, and electrical noise"
feature_windows.csv,mq3_spectral_entropy,float,nats,Normalized Shannon spectral entropy of FFT power distribution,0.1 to 3.5,"Signal complexity/flatness; high entropy indicates noise, low entropy indicates structured transient"
feature_windows.csv,mq4_mean,float,ppm_equivalent,Arithmetic mean of MQ4 sensor response over event window,20.0 to 1200.0,Window central tendency
feature_windows.csv,mq4_median,float,ppm_equivalent,Median value of MQ4 sensor response over event window,20.0 to 1200.0,Robust central tendency against impulsive noise spikes
feature_windows.csv,mq4_min,float,ppm_equivalent,Minimum value of MQ4 sensor response observed during event window,15.0 to 1100.0,Lower signal envelope bound
feature_windows.csv,mq4_max,float,ppm_equivalent,Maximum value of MQ4 sensor response observed during event window,25.0 to 1500.0,Upper signal peak bound
feature_windows.csv,mq4_std,float,ppm_equivalent,Standard deviation of MQ4 sensor response over event window,0.5 to 300.0,Measure of signal dispersion and transient fluctuation
feature_windows.csv,mq4_peak_amplitude,float,ppm_equivalent,Peak excursion amplitude above baseline (MQ4_max minus MQ4_baseline),0.0 to 1200.0,Transient response amplitude above estimated steady-state baseline
feature_windows.csv,mq4_baseline,float,ppm_equivalent,Estimated steady-state baseline response for MQ4 sensor (mean of initial 10 samples),20.0 to 500.0,Pre-event reference conductance level before subject engagement
feature_windows.csv,mq4_max_deviation,float,ppm_equivalent,Maximum absolute deviation from window mean for MQ4 sensor,1.0 to 800.0,Captures extreme single-point excursions within the window
feature_windows.csv,mq4_rise_rate,float,ppm_equivalent/s,Maximum rate of signal rise (dPPM/dt) during plume encounter phase,0.0 to 250.0,Maximum positive finite-difference gradient; steep slopes signify direct plume impingement
feature_windows.csv,mq4_fall_rate,float,ppm_equivalent/s,Maximum rate of signal fall during desorptive clearance phase,0.0 to 150.0,Maximum negative finite-difference gradient; reflects sensor chamber clearing/washout
feature_windows.csv,mq4_auc,float,ppm_equivalent*s,Area Under the Curve (trapezoidal numerical integration over window time),500.0 to 35000.0,Integrated exposure dosage over the screening interaction
feature_windows.csv,mq4_response_duration,float,seconds,Duration of time during which MQ4 remained >20% above baseline,0.0 to 30.0,Temporal persistence of the chemical vapor plume
feature_windows.csv,mq4_recovery_time,float,seconds,Elapsed time from peak amplitude until signal recovers to within 10% of baseline,0.0 to 25.0,Sensor desorptive clearance latency
feature_windows.csv,mq4_time_to_peak,float,seconds,Elapsed time from window start to maximum peak amplitude,0.1 to 25.0,Arrival latency of peak vapor concentration
feature_windows.csv,mq4_dominant_freq,float,Hz,Dominant spectral frequency peak in FFT power spectrum (0 to 5 Hz),0.0 to 5.0,Primary oscillatory or drift component (Nyquist limit 5 Hz at 10 Hz sampling)
feature_windows.csv,mq4_spectral_energy,float,(ppm_equivalent)^2,Total power spectral density energy across all FFT bins,10.0 to 1e7,Overall frequency-domain power of the sensor signal
feature_windows.csv,mq4_low_freq_energy,float,(ppm_equivalent)^2,Spectral energy in low-frequency band (0.0 to 1.0 Hz),10.0 to 1e7,Reflects slow chemical plume accumulation and baseline thermal drift
feature_windows.csv,mq4_high_freq_energy,float,(ppm_equivalent)^2,Spectral energy in high-frequency band (1.0 to 5.0 Hz),0.1 to 1e5,"Reflects mechanical air turbulence, ventilation drafts, and electrical noise"
feature_windows.csv,mq4_spectral_entropy,float,nats,Normalized Shannon spectral entropy of FFT power distribution,0.1 to 3.5,"Signal complexity/flatness; high entropy indicates noise, low entropy indicates structured transient"
feature_windows.csv,target_temp_mean,float,celsius,Mean target infrared surface temperature over window,15.0 to 45.0,Screened object or passenger average surface temperature
feature_windows.csv,target_temp_max,float,celsius,Maximum target infrared surface temperature over window,16.0 to 48.0,Peak localized surface temperature detected
feature_windows.csv,target_temp_min,float,celsius,Minimum target infrared surface temperature over window,14.0 to 43.0,Minimum surface temperature detected
feature_windows.csv,deltaT_mean,float,celsius,Mean temperature contrast (target minus ambient) across window,-5.0 to 12.0,Average thermal elevation relative to station ambient
feature_windows.csv,deltaT_max,float,celsius,Maximum temperature contrast observed across window,-3.0 to 15.0,Peak thermal differential excursion
feature_windows.csv,deltaT_std,float,celsius,Standard deviation of delta temperature across window,0.05 to 4.0,Thermal gradient fluctuation across screened subject
feature_windows.csv,deltaT_rate_of_change,float,celsius/s,Maximum rate of change in delta temperature over window,-5.0 to 5.0,Thermal transition velocity as subject traverses sensing zone
feature_windows.csv,env_temp_mean,float,celsius,Mean ambient portal temperature across window,15.0 to 42.0,Macro-environmental thermal baseline during screening
feature_windows.csv,env_temp_range,float,celsius,Difference between max and min ambient temperature in window,0.0 to 3.0,Thermal stability of screening chamber over the event window
feature_windows.csv,humidity_mean,float,percent,Mean relative humidity over window,20.0 to 95.0,Relative humidity for MOS conductance compensation
feature_windows.csv,humidity_range,float,percent,Difference between max and min humidity in window,0.0 to 8.0,Short-term moisture variability in the screening portal
feature_windows.csv,pressure_mean,float,hPa,Mean barometric pressure over window,950.0 to 1050.0,Atmospheric baseline pressure
feature_windows.csv,pressure_range,float,hPa,Difference between max and min pressure in window,0.0 to 4.0,Barometric air draft fluctuation from passing trains or ventilation
feature_windows.csv,total_motion_count,int,count,Cumulative count of PIR motion trigger transitions in window,0 to 100,Total movement events registered by PIR sensor
feature_windows.csv,pct_window_motion,float,percent,Percentage of time window where PIR motion was actively asserted (1),0.0 to 100.0,Duty cycle of physical occupancy in screening portal
feature_windows.csv,proximity_min,float,cm,Closest distance of subject/luggage to screening aperture,5.0 to 150.0,Closest encounter distance; confirms subject presence
feature_windows.csv,proximity_mean,float,cm,Average proximity distance across window,10.0 to 180.0,Mean subject distance during screening phase
feature_windows.csv,gas_correlation,float,dimensionless,Average pairwise Pearson correlation coefficient among MQ1-MQ4 signals,-1.0 to 1.0,Quantifies coherent multi-sensor co-activation across chemical array
feature_windows.csv,max_gas_response,float,ppm_equivalent,Maximum peak amplitude observed across any of the four gas sensors,0.0 to 1200.0,Array-wide maximal response excursion
feature_windows.csv,mean_gas_response,float,ppm_equivalent,Average peak amplitude across all four gas sensors,0.0 to 900.0,Array-wide average response intensity
feature_windows.csv,gas_response_variance,float,(ppm_equivalent)^2,Variance of peak amplitudes across the four gas sensors,0.0 to 2.5e5,Array selectivity profile diversity across sensor types
feature_windows.csv,chemical_thermal_agreement,float,dimensionless,Normalized cross-modal correlation between mean gas response and deltaT,-1.0 to 1.0,High co-activation indicates coupled chemical and thermal anomaly signatures
feature_windows.csv,n_sensors_above_baseline,int,count,Number of MQ gas sensors exceeding 3-sigma detection threshold above baseline,0 to 4,Array consensus count; higher consensus reduces single-sensor false alarms
feature_windows.csv,multimodal_anomaly_score,float,dimensionless,"Composite heuristic risk score fusing chemical, thermal, and proximity signals",0.0 to 1.0,"Integrated pre-classification anomaly index; combines gas, thermal, and proximity cues"
